,model,brand
0,integra,acura
1,legend,acura
2,vigor,acura
3,rlx,acura
4,ilx,acura
5,mdx,acura
6,rdx,acura
7,tsx,acura
8,rsx,acura
9,quattro,audi
10,a4,audi
11,a6,audi
12,a5,audi
13,a7,audi
14,q3,audi
15,q5,audi
16,q7,audi
17,a8,audi
18,a3,audi
19,3-series,bmw
20,5-series,bmw
21,6-series,bmw
22,4-series,bmw
23,xdrive,bmw
24,alpina,bmw
25,330ci,bmw
26,328i,bmw
27,330c,bmw
28,335i,bmw
29,335d,bmw
30,528i,bmw
31,535i,bmw
32,128i,bmw
33,640i,bmw
34,3er,bmw
35,5er,bmw
36,m5,bmw
37,m3,bmw
38,m6,bmw
39,bmws,bmw
40,bmwesque,bmw
41,park avenue,buick
42,la crosse,buick
43,lacrosse,buick
44,century,buick
45,enclave,buick
46,encore,buick
47,regal,buick
48,buicks,buick
49,escalade,cadillac
50,srx,cadillac
51,xts,cadillac
52,grand blazer,chevrolet
53,trailblazer,chevrolet
54,trailblazer,chevrolet
55,silverado,chevrolet
56,colorado,chevrolet
57,corvette,chevrolet
58,suburban,chevrolet
59,cavalier,chevrolet
60,caprice,chevrolet
61,captiva,chevrolet
62,equinox,chevrolet
63,express,chevrolet
64,lacetti,chevrolet
65,montana,chevrolet
66,uplander,chevrolet
67,orlando,chevrolet
68,tornado,chevrolet
69,tracker,chevrolet
70,traverse,chevrolet
71,caprice,chevrolet
72,captiva,chevrolet
73,equinox,chevrolet
74,express,chevrolet
75,camaro,chevrolet
76,cobalt,chevrolet
77,impala,chevrolet
78,lumina,chevrolet
79,malibu,chevrolet
80,prisma,chevrolet
81,tavera,chevrolet
82,camaro,chevrolet
83,cobalt,chevrolet
84,impala,chevrolet
85,lumina,chevrolet
86,malibu,chevrolet
87,tavera,chevrolet
88,agile,chevrolet
89,celta,chevrolet
90,cruze,chevrolet
91,lanos,chevrolet
92,omega,chevrolet
93,optra,chevrolet
94,sonic,chevrolet
95,spark,chevrolet
96,tahoe,chevrolet
97,agile,chevrolet
98,cruze,chevrolet
99,sonic,chevrolet
100,spark,chevrolet
101,aveo,chevrolet
102,lova,chevrolet
103,n200,chevrolet
104,niva,chevrolet
105,onix,chevrolet
106,s-10,chevrolet
107,sail,chevrolet
108,volt,chevrolet
109,aveo,chevrolet
110,volt,chevrolet
111,chevy,chevrolet
112,malibus,chevrolet
113,suburban,chevrolet
114,corvette,chevrolet
115,town and country,chrysler
116,chrysler 300,chrysler
117,chrysler 200,chrysler
118,pacifica,chrysler
119,cruiser,chrysler
120,sebring,chrysler
121,300m,chrysler
122,lx,chrysler
123,chryslers,chrysler
124,challenger,dodge
125,intrepid,dodge
126,avenger,dodge
127,charger,dodge
128,durango,dodge
129,journey,dodge
130,caliber,dodge
131,stealth,dodge
132,magnum,dodge
133,viper,dodge
134,dart,dodge
135,ram,dodge
136,crownvictoria,ford
137,expedition,ford
138,supervan,ford
139,freestar,ford
140,explorer,ford
141,mustang,ford
142,ecoline,ford
143,tourneo,ford
144,everest,ford
145,fiesta,ford
146,fusion,ford
147,taurus,ford
148,galaxy,ford
149,escape,ford
150,focus,ford
151,f-150,ford
152,c-max,ford
153,s-max,ford
154,kuga,ford
155,cmax,ford
156,f150,ford
157,fords,ford
158,fusions,ford
159,fusionmilan,ford
160,crosstour,honda
161,ridgeline,honda
162,inspire,honda
163,mobilio,honda
164,prelude,honda
165,shuttle,honda
166,spirior,honda
167,stepwgn,honda
168,crider,honda
169,insight,honda
170,legend,honda
171,odyssey,honda
172,stream,honda
173,amaze,honda
174,hobio,honda
175,n-box,honda
176,n-one,honda
177,n-wgn,honda
178,pilot,honda
179,vamos,honda
180,vezel,honda
181,spike,honda
182,acty,honda
183,brio,honda
184,city,honda
185,civic,honda
186,cr-v,honda
187,freed,honda
188,jade,honda
189,zest,honda
190,aria,honda
191,ex-l,honda
192,cr-z,honda
193,jazz,honda
194,nsx,honda
195,nbox,honda
196,exl,honda
197,fcx,honda
198,5dr,honda
199,crv,honda
200,pilot,honda
201,accord,honda
202,hondas,honda
203,accords,honda
204,odessey,honda
205,crosstour,honda
206,hyundaikia,hyundai
207,centennial,hyundai
208,grandeur,hyundai
209,veloster,hyundai
210,elantra,hyundai
211,genesis,hyundai
212,tiburon,hyundai
213,tuscani,hyundai
214,dynasty,hyundai
215,santamo,hyundai
216,stellar,hyundai
217,accent,hyundai
218,lantra,hyundai
219,avante,hyundai
220,santro,hyundai
221,sonata,hyundai
222,scoupe,hyundai
223,matrix,hyundai
224,lavity,hyundai
225,verna,hyundai
226,equus,hyundai
227,azera,hyundai
228,tucson,hyundai
229,xcent,hyundai
230,click,hyundai
231,atos,hyundai
232,atoz,hyundai
233,ix20,hyundai
234,getz,hyundai
235,pony,hyundai
236,i10,hyundai
237,i20,hyundai
238,i30,hyundai
239,i40,hyundai
240,i45,hyundai
241,xg,hyundai
242,santa,hyundai
243,santa fe,hyundai
244,sonatas,hyundai
245,sonata,hyundai
246,hyundais,hyundai
247,veracruz,hyundai
248,excel,hyundai
249,qx50,infiniti
250,qx60,infiniti
251,qx70,infiniti
252,fx35,infiniti
253,q50,infiniti
254,q60,infiniti
255,q70,infiniti
256,g37,infiniti
257,g25,infiniti
258,6mt,infiniti
259,cadenza,kia
260,sorento,kia
261,sedona,kia
262,forte,kia
263,koup,kia
264,k900,kia
265,kias,kia
266,optima,kia
267,navigator,lincoln
268,town car,lincoln
269,zephyr,lincoln
270,mkz,lincoln
271,mks,lincoln
272,mkx,lincoln
273,mkc,lincoln
274,mkt,lincoln
275,az-offroad,mazda
276,az-wagon,mazda
277,familia,mazda
278,premacy,mazda
279,biante,mazda
280,carol,mazda
281,scrum,mazda
282,mazda2,mazda
283,mazda3,mazda
284,mazda5,mazda
285,atenza,mazda
286,mazda6,mazda
287,mazda8,mazda
288,bongo,mazda
289,demio,mazda
290,axela,mazda
291,rx-8,mazda
292,cx-7,mazda
293,bt-50,mazda
294,rx-8,mazda
295,mx-5,mazda
296,cx-5,mazda
297,cx-9,mazda
298,6i,mazda
299,cx9,mazda
300,cx5,mazda
301,rx8,mazda
302,mazdas,mazda
303,mazda6s,mazda
304,mazda6i,mazda
305,mercedes-benz,mercedes
306,benz,mercedes
307,cl-class,mercedes
308,c-class,mercedes
309,e-class,mercedes
310,s-class,mercedes
311,mercedesbenz,mercedes
312,milan,mercury
313,mercury,mercury
314,galant,mitsubishi
315,lancer,mitsubishi
316,pathfinder,nissan
317,frontier,nissan
318,sentra,nissan
319,altima,nissan
320,maxima,nissan
321,murano,nissan
322,armada,nissan
323,xterra,nissan
324,versa,nissan
325,rogue,nissan
326,titan,nissan
327,cube,nissan
328,juke,nissan
329,leaf,nissan
330,370z,nissan
331,altimas,nissan
332,nissans,nissan
333,quest,nissan
334,streamliner,pontiac
335,grand prix,pontiac
336,grand am,pontiac
337,sunfire,pontiac
338,torpedo,pontiac
339,aztek,pontiac
340,vibe,pontiac
341,wave,pontiac
342,vibe,pontiac
343,gxp,pontiac
344,gto,pontiac
345,g6,pontiac
346,g3,pontiac
347,g4,pontiac
348,g5,pontiac
349,g6,pontiac
350,g8,pontiac
351,aura,saturn
352,outback sport,subaru
353,grand wagon,subaru
354,impreza xv,subaru
355,crosstrek,subaru
356,lancaster,subaru
357,forester,subaru
358,impreza,subaru
359,tribeca,subaru
360,liberty,subaru
361,outback,subaru
362,gravel,subaru
363,legacy,subaru
364,sambar,subaru
365,stella,subaru
366,exiga,subaru
367,pleo,subaru
368,brz,subaru
369,wrx,subaru
370,dex,subaru
371,r1,subaru
372,r2,subaru
373,every landy,suzuki
374,cappuccino,suzuki
375,mighty boy,suzuki
376,geo metro,suzuki
377,mr wagon,suzuki
378,palette,suzuki
379,wagon r,suzuki
380,kizashi,suzuki
381,equator,suzuki
382,splash,suzuki
383,ertiga,suzuki
384,cultus,suzuki
385,esteem,suzuki
386,fronte,suzuki
387,escudo,suzuki
388,lapin,suzuki
389,solio,suzuki
390,swift,suzuki
391,landy,suzuki
392,jimny,suzuki
393,aerio,suzuki
394,liana,suzuki
395,cervo,suzuki
396,forsa,suzuki
397,ignis,suzuki
398,x-90,suzuki
399,xl7,suzuki
400,sx4,suzuki
401,apv,suzuki
402,camrybest,toyota
403,corolla/sprinter,toyota
404,urban cruiser,toyota
405,land cruiser,toyota
406,highlander,toyota
407,fj cruiser,toyota
408,hilux surf,toyota
409,fortuner,toyota
410,stallion,toyota
411,vanguard,toyota
412,4runner,toyota
413,alphard,toyota
414,avensis,toyota
415,century,toyota
416,coaster,toyota
417,comfort,toyota
418,granvia,toyota
419,liteace,toyota
420,scepter,toyota
421,sequoia,toyota
422,succeed,toyota
423,townace,toyota
424,toyoace,toyota
425,venture,toyota
426,allion,toyota
427,aurion,toyota
428,avalon,toyota
429,avanza,toyota
430,condor,toyota
431,fiedler,toyota
432,majesta,toyota
433,estima,toyota
434,hiclass,toyota
435,innova,toyota
436,kijang,toyota
437,kingdom,toyota
438,kluger,toyota
439,matrix,toyota
440,miniace,toyota
441,picnic,toyota
442,premio,toyota
443,probox,toyota
444,qualis,toyota
445,ractis,toyota
446,sienna,toyota
447,sienta,toyota
448,sparky,toyota
449,tacoma,toyota
450,tamaraw,toyota
451,tarago,toyota
452,tundra,toyota
453,vienta,toyota
454,auris,toyota
455,belta,toyota
456,camry,toyota
457,carri,toyota
458,rumion,toyota
459,etios,toyota
460,hilux,toyota
461,hiace,toyota
462,mark x,toyota
463,passo,toyota
464,porte,toyota
465,prius,toyota
466,sofia,toyota
467,tiara,toyota
468,venza,toyota
469,verso,toyota
470,yaris,toyota
471,zelas,toyota
472,aygo,toyota
473,cami,toyota
474,dyna,toyota
475,isis,toyota
476,nadia,toyota
477,noah,toyota
478,raum,toyota
479,rav4,toyota
480,reiz,toyota
481,vios,toyota
482,voxy,toyota
483,platz,toyota
484,axio,toyota
485,ist,toyota
486,sai,toyota
487,vitz,toyota
488,echo,toyota
489,bb,toyota
490,iq,toyota
491,zio,toyota
492,camry,toyota
493,prius,toyota
494,venza,toyota
495,camrys,toyota
496,avalon,toyota
497,solara,toyota
498,corolla,toyota
499,toyotas,toyota
500,highlander,toyota
501,sportwagen,volkswagen
502,touraeg,volkswagen
503,passat,volkswagen
504,tiguan,volkswagen
505,beetle,volkswagen
506,rabbit,volkswagen
507,jetta,volkswagen
508,golf,volkswagen
509,gti,volkswagen
510,eos,volkswagen
511,volkwagen,volkswagen
512,vw,volkswagen
513,vws,volkswagen
514,passats,volkswagen
515,xc60,volvo
516,xc70,volvo
517,xc90,volvo
518,s60,volvo
519,s80,volvo
520,v60,volvo
521,c70,volvo
522,escalade esv,cadillac
523,silverado 2500 hd crew cab,chevrolet
524,3 series,bmw
525,colorado crew cab,chevrolet
526,x3,bmw
527,tlx,acura
528,silverado 3500 hd crew cab,chevrolet
529,7 series,bmw
530,envision,buick
531,sq5,audi
532,r8,audi
533,qx80,infiniti
534,sierra 2500 hd crew cab,gmc
535,xt6,cadillac
536,xt5,cadillac
537,xt4,cadillac
538,ecosport,ford
539,edge,ford
540,kona electric,hyundai
541,sierra 3500 hd crew cab,gmc
542,gladiator,jeep
543,x7,bmw
544,ct6-v,cadillac
545,blazer,chevrolet
546,f150 supercrew cab,ford
547,compass,jeep
548,voyager,chrysler
549,accord hybrid,honda
550,terrain,gmc
551,sierra 1500 crew cab,gmc
552,nexo,hyundai
553,silverado 1500 crew cab,chevrolet
554,g70,genesis
555,ct5,cadillac
556,elantra gt,hyundai
557,yukon xl,gmc
558,ranger supercab,ford
559,expedition max,ford
560,kona,hyundai
561,yukon,gmc
562,palisade,hyundai
563,cherokee,jeep
564,bolt ev,chevrolet
565,passport,honda
566,venue,hyundai
567,grand cherokee,jeep
568,acadia,gmc
569,x5,bmw
570,ranger supercrew,ford
571,trax,chevrolet
572,ioniq plug-in hybrid,hyundai
573,e-pace,jaguar
574,hr-v,honda
575,i-pace,jaguar
576,g80,genesis
577,f-pace,jaguar
578,renegade,jeep
579,f-type,jaguar
580,wrangler,jeep
581,rio,kia
582,discovery sport,land rover
583,sportage,kia
584,optima hybrid,kia
585,optima plug-in hybrid,kia
586,range rover evoque,land rover
587,telluride,kia
588,wrangler unlimited,jeep
589,soul,kia
590,range rover sport,land rover
591,range rover,land rover
592,stinger,kia
593,discovery,land rover
594,range rover velar,land rover
595,es,lexus
596,lc,lexus
597,rc,lexus
598,gx,lexus
599,gs,lexus
600,ls,lexus
601,ux,lexus
602,gls,mercedes-benz
603,cla,mercedes-benz
604,outlander sport,mitsubishi
605,aviator,lincoln
606,nx,lexus
607,cx-30,mazda
608,eclipse cross,mitsubishi
609,mirage g4,mitsubishi
610,corsair,lincoln
611,navigator l,lincoln
612,g-class,mercedes-benz
613,nautilus,lincoln
614,rx,lexus
615,kicks,nissan
616,nv3500 hd passenger,nissan
617,gla,mercedes-benz
618,nv1500 cargo,nissan
619,countryman,mini
620,gle,mercedes-benz
621,glc,mercedes-benz
622,mirage,mitsubishi
623,gt-r,nissan
624,outlander,mitsubishi
625,outlander phev,mitsubishi
626,nv3500 hd cargo,nissan
627,panamera,porsche
628,taycan,porsche
629,nv200,nissan
630,911,porsche
631,rogue sport,nissan
632,macan,porsche
633,cayenne coupe,porsche
634,cayenne,porsche
635,nv2500 hd cargo,nissan
636,3500 crew cab,ram
637,1500 crew cab,ram
638,ascent,subaru
639,corolla hatchback,toyota
640,86,toyota
641,avalon hybrid,toyota
642,2500 crew cab,ram
643,c-hr,toyota
644,camry hybrid,toyota
645,corolla hybrid,toyota
646,gr supra,toyota
647,prius prime,toyota
648,tacoma access cab,toyota
649,rav4 hybrid,toyota
650,highlander hybrid,toyota
651,tundra double cab,toyota
652,tacoma double cab,toyota
653,tundra crewmax,toyota
654,yaris hatchback,toyota
655,mdx sport hybrid,acura
656,rlx sport hybrid,acura
657,xc40,volvo
658,q8,audi
659,rs 5,audi
660,4c spider,alfa romeo
661,4 series,bmw
662,2 series,bmw
663,s5,audi
664,a4 allroad,audi
665,e-tron,audi
666,rs 3,audi
667,stelvio,alfa romeo
668,giulia,alfa romeo
669,s3,audi
670,s4,audi
671,5 series,bmw
672,i8,bmw
673,8 series,bmw
674,i3,bmw
675,6 series,bmw
676,m4,bmw
677,tt,audi
678,regal sportback,buick
679,x6 m,bmw
680,x2,bmw
681,cts-v,cadillac
682,x1,bmw
683,x6,bmw
684,x4,bmw
685,ct6,cadillac
686,regal tourx,buick
687,m2,bmw
688,cascada,buick
689,cts,cadillac
690,z4,bmw
691,ats-v,cadillac
692,ats,cadillac
693,express 2500 cargo,chevrolet
694,colorado extended cab,chevrolet
695,express 2500 passenger,chevrolet
696,express 3500 passenger,chevrolet
697,silverado 2500 hd double cab,chevrolet
698,silverado 1500 regular cab,chevrolet
699,express 3500 cargo,chevrolet
700,silverado 1500 ld double cab,chevrolet
701,silverado 2500 hd regular cab,chevrolet
702,silverado 1500 double cab,chevrolet
703,pacifica hybrid,chrysler
704,500l,fiat
705,500e,fiat
706,500,fiat
707,f150 super cab,ford
708,suburban 3500hd,chevrolet
709,grand caravan passenger,dodge
710,300,chrysler
711,500c,fiat
712,500 abarth,fiat
713,124 spider,fiat
714,f250 super duty regular cab,ford
715,500x,fiat
716,500c abarth,fiat
717,f150 regular cab,ford
718,f450 super duty crew cab,ford
719,f350 super duty crew cab,ford
720,f250 super duty crew cab,ford
721,f350 super duty super cab,ford
722,flex,ford
723,transit 150 van,ford
724,canyon crew cab,gmc
725,g90,genesis
726,fusion energi,ford
727,transit connect cargo,ford
728,transit 150 wagon,ford
729,transit 350 van,ford
730,f250 super duty super cab,ford
731,sierra 1500 double cab,gmc
732,transit 250 van,ford
733,transit 350 wagon,ford
734,transit connect passenger,ford
735,sprinter 2500 cargo,freightliner
736,sierra 1500 limited double cab,gmc
737,clarity electric,honda
738,sierra 2500 hd double cab,gmc
739,sierra 2500 hd regular cab,gmc
740,canyon extended cab,gmc
741,sierra 1500 regular cab,gmc
742,civic type r,honda
743,clarity fuel cell,honda
744,clarity plug-in hybrid,honda
745,fit,honda
746,ioniq electric,hyundai
747,sonata hybrid,hyundai
748,ioniq hybrid,hyundai
749,sonata plug-in hybrid,hyundai
750,qx30,infiniti
751,xe,jaguar
752,niro,kia
753,xf,jaguar
754,xj,jaguar
755,niro plug-in hybrid,kia
756,niro ev,kia
757,soul ev,kia
758,levante,maserati
759,mx-5 miata rf,mazda
760,mx-5 miata,mazda
761,continental,lincoln
762,cx-3,mazda
763,a-class,mercedes-benz
764,ghibli,maserati
765,mercedes-amg c-class,mercedes-benz
766,cls,mercedes-benz
767,mercedes-amg cla,mercedes-benz
768,glc coupe,mercedes-benz
769,mercedes-amg cls,mercedes-benz
770,santa fe xl,hyundai
771,mercedes-amg e-class,mercedes-benz
772,mercedes-amg gle,mercedes-benz
773,mercedes-amg g-class,mercedes-benz
774,mercedes-amg gla,mercedes-benz
775,mercedes-amg s-class,mercedes-benz
776,sl,mercedes-benz
777,mercedes-amg gt,mercedes-benz
778,metris passenger,mercedes-benz
779,mercedes-amg gle coupe,mercedes-benz
780,mercedes-maybach s-class,mercedes-benz
781,mercedes-amg glc coupe,mercedes-benz
782,sprinter 2500 cargo,mercedes-benz
783,convertible,mini
784,metris cargo,mercedes-benz
785,slc,mercedes-benz
786,mercedes-amg slc,mercedes-benz
787,mercedes-amg glc,mercedes-benz
788,mercedes-amg sl,mercedes-benz
789,hardtop 2 door,mini
790,hardtop 4 door,mini
791,clubman,mini
792,mercedes-amg gls,mercedes-benz
793,titan xd crew cab,nissan
794,titan crew cab,nissan
795,718 boxster,porsche
796,frontier king cab,nissan
797,frontier crew cab,nissan
798,titan single cab,nissan
799,nv200 taxi,nissan
800,titan king cab,nissan
801,titan xd single cab,nissan
802,versa note,nissan
803,2500 mega cab,ram
804,titan xd king cab,nissan
805,1500 classic quad cab,ram
806,1500 classic crew cab,ram
807,1500 classic regular cab,ram
808,718 cayman,porsche
809,1500 quad cab,ram
810,2500 regular cab,ram
811,3500 mega cab,ram
812,promaster cargo van,ram
813,promaster city,ram
814,promaster window van,ram
815,model x,tesla
816,model 3,tesla
817,3500 regular cab,ram
818,model s,tesla
819,mirai,toyota
820,atlas,volkswagen
821,prius c,toyota
822,golf sportwagen,volkswagen
823,arteon,volkswagen
824,e-golf,volkswagen
825,golf gti,volkswagen
826,jetta gli,volkswagen
827,golf alltrack,volkswagen
828,golf r,volkswagen
829,v90,volvo
830,s90,volvo
831,vanquish s,aston martin
832,4c,alfa romeo
833,db11,aston martin
834,a3 sportback e-tron,audi
835,s7,audi
836,s6,audi
837,s8,audi
838,rs 7,audi
839,bentayga,bentley
840,flying spur,bentley
841,continental,bentley
842,mulsanne,bentley
843,x5 m,bmw
844,city express,chevrolet
845,silverado 3500 hd double cab,chevrolet
846,silverado 3500 hd regular cab,chevrolet
847,gtc4lusso,ferrari
848,488 gtb,ferrari
849,812 superfast,ferrari
850,portofino,ferrari
851,488 spider,ferrari
852,c-max hybrid,ford
853,f350 super duty regular cab,ford
854,transit 350 hd van,ford
855,sprinter 2500 crew,freightliner
856,sprinter 3500 cargo,freightliner
857,sprinter worker cargo,freightliner
858,sprinter 3500xd cargo,freightliner
859,sprinter 2500 passenger,freightliner
860,savana 2500 passenger,gmc
861,savana 3500 passenger,gmc
862,savana 3500 cargo,gmc
863,savana 2500 cargo,gmc
864,sierra 3500 hd double cab,gmc
865,sierra 3500 hd regular cab,gmc
866,santa fe sport,hyundai
867,forte5,kia
868,huracan,lamborghini
869,aventador,lamborghini
870,quattroporte,maserati
871,evora 400,lotus
872,570gt,mclaren
873,granturismo,maserati
874,720s,mclaren
875,570s,mclaren
876,sprinter 2500 crew,mercedes-benz
877,metris worker cargo,mercedes-benz
